,macro_plot_name,monitoring_status,date,size_cl_dia,status,avg_ht,comment,tag_no,top_kill_y_n,resprout_y_n,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,basal_resprout_count,uv2,uv3,uv1desc,uv2desc,uv3desc,sa_comment,species_symbol,treatment_burn,experiment
324,_150,PostBurnYear1,8/30/2021 14:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,D. to Plant,D. to CWD,neighbor,NA,control,old
325,_150,PostBurnYear1,8/30/2021 14:14,6.6,L,4.2,NA,824,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
326,_150,PostBurnYear1,8/30/2021 14:14,0.55,L,1.7,NA,825,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
327,_150,PostBurnYear1,8/30/2021 14:14,1.9,L,2.5,NA,826,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
328,_150,PostBurnYear1,8/30/2021 14:14,1.2,L,1.8,NA,827,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
329,_150,PostBurnYear1,8/30/2021 14:14,0.6,L,1.6,NA,828,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
330,_150,PostBurnYear1,8/30/2021 14:14,1.6,L,2.3,NA,829,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
331,_150,PostBurnYear1,8/30/2021 14:14,3.4,L,3,NA,830,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
332,_150,PostBurnYear1,8/30/2021 14:14,5.6,L,4.1,NA,831,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
333,_150,PostBurnYear1,8/30/2021 14:14,3.1,L,3.6,NA,832,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
334,_150,PostBurnYear1,8/30/2021 14:14,3.6,L,2.9,NA,833,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
335,_150,PostBurnYear1,8/30/2021 14:14,6.35,L,3.9,NA,834,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
336,_150,PostBurnYear1,8/30/2021 14:14,7.6,L,4.4,NA,835,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
337,_150,PostBurnYear1,8/30/2021 14:14,3.1,L,3.85,NA,836,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
338,_150,PostBurnYear1,8/30/2021 14:14,0.8,L,1.8,NA,839,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
339,_150,PostBurnYear1,8/30/2021 14:14,0.55,L,1.5,NA,841,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
340,_150,PostBurnYear1,8/30/2021 14:14,1.6,L,2.2,NA,844,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
341,_150,PostBurnYear1,8/30/2021 14:14,3.5,L,3,NA,845,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
342,_150,PostBurnYear1,8/30/2021 14:14,2,L,2.85,NA,846,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
611,_152,PostBurnYear1,8/30/2021 14:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,D. to plant,D. to CWD,neighbor,NA,control,old
612,_152,PostBurnYear1,8/30/2021 14:15,3.1,L,2.4,NA,202,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
613,_153,PostBurnYear1,8/30/2021 14:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,D. to plant,D. to CWD,neighbor,NA,control,old
614,_153,PostBurnYear1,8/30/2021 14:16,7.4,L,4.1,NA,172,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,old
